,head_cui,head,relation_label,tail_cui,tail,rel_type,rela_raw,sab,has_named_rel,linearised
35981,C2721746,Lipodystrophy (SMQ),has member,C0362046,Prediabetes syndrome,RO,has_member,MDRRUS,True,Lipodystrophy (SMQ) has member Prediabetes syndrome.
35982,C1869043,Hyperglycaemia/new onset diabetes mellitus (SMQ),has member,C0362046,Prediabetes syndrome,RO,has_member,MDRKOR,True,Hyperglycaemia/new onset diabetes mellitus (SMQ) has member Prediabetes syndrome.
35983,C2721746,Lipodystrophy (SMQ),has member,C0362046,Prediabetes syndrome,RO,has_member,MDRKOR,True,Lipodystrophy (SMQ) has member Prediabetes syndrome.
35984,C1869043,Hyperglycaemia/new onset diabetes mellitus (SMQ),has member,C0362046,Prediabetes syndrome,RO,has_member,MDRBPO,True,Hyperglycaemia/new onset diabetes mellitus (SMQ) has member Prediabetes syndrome.
35985,C2721746,Lipodystrophy (SMQ),has member,C0362046,Prediabetes syndrome,RO,has_member,MDRBPO,True,Lipodystrophy (SMQ) has member Prediabetes syndrome.
35986,C1869043,Hyperglycaemia/new onset diabetes mellitus (SMQ),has member,C0362046,Prediabetes syndrome,RO,has_member,MDRSWE,True,Hyperglycaemia/new onset diabetes mellitus (SMQ) has member Prediabetes syndrome.
35987,C2721746,Lipodystrophy (SMQ),has member,C0362046,Prediabetes syndrome,RO,has_member,MDRSWE,True,Lipodystrophy (SMQ) has member Prediabetes syndrome.
35988,C1869043,Hyperglycaemia/new onset diabetes mellitus (SMQ),has member,C0362046,Prediabetes syndrome,RO,has_member,MDRLAV,True,Hyperglycaemia/new onset diabetes mellitus (SMQ) has member Prediabetes syndrome.
35989,C2721746,Lipodystrophy (SMQ),has member,C0362046,Prediabetes syndrome,RO,has_member,MDRLAV,True,Lipodystrophy (SMQ) has member Prediabetes syndrome.
35990,C1869043,Hyperglycaemia/new onset diabetes mellitus (SMQ),has member,C0362046,Prediabetes syndrome,RO,has_member,MDRPOL,True,Hyperglycaemia/new onset diabetes mellitus (SMQ) has member Prediabetes syndrome.
35991,C2721746,Lipodystrophy (SMQ),has member,C0362046,Prediabetes syndrome,RO,has_member,MDRPOL,True,Lipodystrophy (SMQ) has member Prediabetes syndrome.
35992,C1869043,Hyperglycaemia/new onset diabetes mellitus (SMQ),has member,C0362046,Prediabetes syndrome,RO,has_member,MDRGRE,True,Hyperglycaemia/new onset diabetes mellitus (SMQ) has member Prediabetes syndrome.
35993,C2721746,Lipodystrophy (SMQ),has member,C0362046,Prediabetes syndrome,RO,has_member,MDRGRE,True,Lipodystrophy (SMQ) has member Prediabetes syndrome.
