,head_cui,head,relation_label,tail_cui,tail,rel_type,rela_raw,sab,has_named_rel,linearised
35858,C0003364,antihypertensive agent,inverse isa,C0354468,Amlodipine besylate,PAR,inverse_isa,SCTSPA,True,antihypertensive agent inverse isa Amlodipine besylate.
35859,C0051696,Amlodipine,has modification,C0354468,Amlodipine besylate,RO,has_modification,SCTSPA,True,Amlodipine has modification Amlodipine besylate.
35860,C0354468,Amlodipine besylate,is broader than,C0051696,Amlodipine,RB,,MSHFRE,False,Amlodipine besylate is a broader concept than Amlodipine.
35861,C0354468,Amlodipine besylate,is broader than,C0051696,Amlodipine,RB,,MSHNOR,False,Amlodipine besylate is a broader concept than Amlodipine.
35862,C0354468,Amlodipine besylate,is broader than,C0051696,Amlodipine,RB,,MSH,False,Amlodipine besylate is a broader concept than Amlodipine.
35863,C0051696,Amlodipine,has form,C0354468,Amlodipine besylate,RB,has_form,RXNORM,True,Amlodipine has form Amlodipine besylate.
35864,C0020538,Hypertensive disease,may be treated by,C0354468,Amlodipine besylate,RO,may_be_treated_by,MED-RT,True,Hypertensive disease may be treated by Amlodipine besylate.
35865,C0020649,Hypotension,has contraindicated drug,C0354468,Amlodipine besylate,RO,has_contraindicated_drug,MED-RT,True,Hypotension has contraindicated drug Amlodipine besylate.
35866,C1956346,coronary artery disease,may be treated by,C0354468,Amlodipine besylate,RO,may_be_treated_by,MED-RT,True,coronary artery disease may be treated by Amlodipine besylate.
35867,C0051696,Amlodipine,has salt or ester form,C0354468,Amlodipine besylate,RO,has_salt_or_ester_form,NCI,True,Amlodipine has salt or ester form Amlodipine besylate.
35868,C0058056,Dihydrocodeine,is parent of,C0355564,Dihydrocodeine Bitartrate,PAR,,RCD,False,Dihydrocodeine Bitartrate is a type of Dihydrocodeine.
35869,C0058056,Dihydrocodeine,has salt or ester form,C0355564,Dihydrocodeine Bitartrate,RO,has_salt_or_ester_form,NCI,True,Dihydrocodeine has salt or ester form Dihydrocodeine Bitartrate.
35870,C0058056,Dihydrocodeine,inverse isa,C0355564,Dihydrocodeine Bitartrate,RB,inverse_isa,MEDCIN,True,Dihydrocodeine inverse isa Dihydrocodeine Bitartrate.
35871,C0355564,Dihydrocodeine Bitartrate,active ingredient of,C0355564,Dihydrocodeine Bitartrate,RO,active_ingredient_of,MEDCIN,True,Dihydrocodeine Bitartrate active ingredient of Dihydrocodeine Bitartrate.
35872,C0058056,Dihydrocodeine,has form,C0355564,Dihydrocodeine Bitartrate,RB,has_form,RXNORM,True,Dihydrocodeine has form Dihydrocodeine Bitartrate.
35873,C0004096,Asthma,has contraindicated drug,C0355564,Dihydrocodeine Bitartrate,RO,has_contraindicated_drug,MED-RT,True,Asthma has contraindicated drug Dihydrocodeine Bitartrate.
35874,C0032961,Pregnancy,has contraindicated drug,C0355564,Dihydrocodeine Bitartrate,RO,has_contraindicated_drug,MED-RT,True,Pregnancy has contraindicated drug Dihydrocodeine Bitartrate.
35875,C0058056,Dihydrocodeine,has modification,C0355564,Dihydrocodeine Bitartrate,RO,has_modification,SNOMEDCT_US,True,Dihydrocodeine has modification Dihydrocodeine Bitartrate.
35876,C0355564,Dihydrocodeine Bitartrate,has active ingredient,C0355564,Dihydrocodeine Bitartrate,RO,has_active_ingredient,MEDCIN,True,Dihydrocodeine Bitartrate has active ingredient Dihydrocodeine Bitartrate.
35877,C0058056,Dihydrocodeine,has modification,C0355564,Dihydrocodeine Bitartrate,RO,has_modification,SCTSPA,True,Dihydrocodeine has modification Dihydrocodeine Bitartrate.
35878,C0355564,Dihydrocodeine Bitartrate,is broader than,C0058056,Dihydrocodeine,RB,,MSH,False,Dihydrocodeine Bitartrate is a broader concept than Dihydrocodeine.
35879,C4694938,epoetin alfa-epbx,isa,C0357126,Epoetin alfa,CHD,isa,MEDCIN,True,epoetin alfa-epbx isa Epoetin alfa.
35880,C0357126,Epoetin alfa,active ingredient of,C0357126,Epoetin alfa,RO,active_ingredient_of,SCTSPA,True,Epoetin alfa active ingredient of Epoetin alfa.
35881,C0357126,Epoetin alfa,has active ingredient,C0357126,Epoetin alfa,RO,has_active_ingredient,SNOMEDCT_US,True,Epoetin alfa has active ingredient Epoetin alfa.
35882,C4694938,epoetin alfa-epbx,has active ingredient,C0357126,Epoetin alfa,RO,has_active_ingredient,MEDCIN,True,epoetin alfa-epbx has active ingredient Epoetin alfa.
